image,label,item-count,item-key
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/71850ca9-ab75-4e7f-ab09-6b5380471243.png?alt=media&token=5429d8d5-f3a7-495c-a2b0-6c5c8009f482,Bola de fogo,0,type-0ab0d1a3-2a02-4ff3-8457-367835d12911
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3f4d0689-4df9-4314-8430-c31a7f7afca1.png?alt=media&token=47a2ce72-48a9-4f15-a125-fa27bf0c661b,Torna de fogo,0,type-29859974-8013-47c3-92af-148ca09b139b
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69f43199-0438-4924-8477-124612ada2f7.png?alt=media&token=86f8b146-9886-4917-bbba-cba6b0232492,Barreira Ígnea,0,type-d8dbcf26-6764-446b-9a76-823320b8eb5e
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f232e62f-9a66-4ceb-bb23-3f31081f48a1.png?alt=media&token=5d020df7-9a2e-4f5f-8cb5-9a4aee6b8036,Bola de luz,0,type-4cbb5e0e-247b-42ce-a40a-6e2ea55dc6fd
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ff249658-6e76-4c74-bc77-0dbb03badca5.png?alt=media&token=1a3112ae-4d7e-47b1-a6cd-5b7faa4c9613,Globo de luz,0,type-19c2fc0a-f35b-4284-adeb-ee38f6e284c9
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/51647dfb-6ec9-482b-919e-5462bb647f39.png?alt=media&token=c5c51474-926f-48a4-a817-95fb900678b1,Reerguer da Fúria,0,type-14278c0f-049e-45d7-8b86-cb7bcc297d4a
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/7fbf0060-8885-40d8-b600-4329016e1e39.png?alt=media&token=5fe1fb81-0bd8-4b39-af3d-26029a14f6b3,Lança Chamas,0,type-59451a67-8208-401b-a54b-eca0049158e4
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/51814d48-23e8-4bb8-8fdc-0faf28f04458.png?alt=media&token=800886da-a81e-4b7d-9b5b-f9e9f74c5db7,Asas Incandescentes,0,type-201d5662-834c-4baa-bb27-abb9762b5f7e
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f7feb3b5-9734-4c84-9ec5-0a8f43548907.png?alt=media&token=90f6e59d-a7d3-4d12-bbc0-26110bb56df7,Cauterizar,0,type-6cbd359f-bea6-4dc3-83b5-322073c83733
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2af8a04d-b111-481a-abd4-03746b2d9980.png?alt=media&token=69d66e0e-f98c-494c-a805-f00f2d235070,Jato da água,0,type-03a53d5f-2270-4971-9861-04e5c0d12cdf
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/dbb7f75d-a9d5-4c4e-ac86-9ad3cf2e042c.png?alt=media&token=e8e119ca-ab55-45d5-9ad5-7d67e775f72c,Congelar,0,type-e314cd07-169d-42a1-9013-b3956a45aa61
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6dbd8bc6-1746-491e-9592-079be3a31a9c.png?alt=media&token=23fc1195-c087-409d-85b4-546c420863fa,Reerguer da Tristeza,0,type-d06e08c9-e9b3-41ab-a2cc-e0cf6b18c25d
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/891d3701-b947-40a3-aaf8-dcd5765f9f69.png?alt=media&token=b5fec5a8-21e9-4ae3-b322-82fbc5fd1ed5,Splash,0,type-62a07de5-eb4f-4492-9b22-346e3375b3bb
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cd69819d-9904-47e3-a8fc-c5145c284110.png?alt=media&token=a76c9d05-1629-495c-b5d3-c9b1fe0b1e01,Prisão de água,0,type-d9c77b8f-6317-4aa8-820e-ce50820ff779
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fd1445fa-04ee-41ef-8171-bfe6d4c30950.png?alt=media&token=d73ce157-d6a5-4488-9b70-52174e40fe59,Chuva Acida,0,type-91a98665-059e-4246-95e5-1795f40b1c91
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/19a8b235-8b74-4d45-bbae-d6623955d14c.png?alt=media&token=ab93a6e8-080f-495f-a99d-be93a647a4ee,Nevoeiro Denso,0,type-9d4de415-4b59-4fe6-9ce3-975c430b6f3f
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/05b9f375-be08-4fea-ad0b-c62ae87ad34a.png?alt=media&token=b4394716-738c-4df4-a244-412f0e68e91c,Água Curativa,0,type-8dbaef4c-f4e2-4180-9e31-77a083bb9c14
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0aaa3419-13b4-4287-b776-0542b2cb8e87.png?alt=media&token=880bddd4-a70f-42f4-a822-f177ddf99858,Tsunami,0,type-d60f38e9-87a7-4720-ba6c-d63020afa5e2
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8fa4a1fc-8d6e-48d7-8ed3-e75424a314e5.png?alt=media&token=76175b5f-56e5-4840-82c7-4969d2f983b6,Ataque de Pedregulhos,0,type-1b4773bc-041f-480b-83f0-f7f6039e4e19
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/e1bd1dcb-0fba-4864-b2f4-e6660c9ed79e.png?alt=media&token=660b82fa-ff16-439c-bf61-c76c55537183,Bola de Demolição,0,type-521baaf5-e8aa-44f6-a58e-aa653a1f8639
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1e5c228c-063d-402d-b10b-69299d7b04d3.png?alt=media&token=8735c3c7-e29a-44a9-a1c0-ed5a11f01e64,Terremoto,0,type-9c9a4af2-24a0-448d-b889-6ee73d4ae6af
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/af90109c-8e78-4ed6-9aeb-fc397881045a.png?alt=media&token=fce5f313-b28a-405c-98f2-18ab39e98462,Reerguer do Orgulho,0,type-16fc2845-7e45-4ee0-a2d8-0d81c28d2deb
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/13c0caab-7d84-41fe-8164-a93e529d941a.png?alt=media&token=841a73f9-249b-441a-8a65-32a25bdffd81,Polinizar,0,type-ad572155-fbfa-4100-89f8-b4788311b6a9
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/39cc40e7-2f72-40de-8832-0141c5554b72.png?alt=media&token=b315b76f-7ef9-4646-bdf5-d1dd878e78a6,Muro de vinhas,0,type-eacd3a20-38ef-4757-b955-65d2270909e9
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/26c9fb89-dc01-45f6-b881-733f1b1486d5.png?alt=media&token=24729ea5-198a-4418-aebe-8f6d248c6c1f,Tiro de Lama,0,type-9f8234d1-9181-4692-9dff-318d14a2d0cf
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/62011966-43f8-4f64-a9c7-a7cf8168d262.png?alt=media&token=44efc5a1-963b-4c5a-8115-564c3a426b51,Soco de Pedra.png,0,type-93f98563-0bbb-4405-88a6-dded90a18e0f
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d6ff5f25-1d2a-464d-b127-aa9cf8f0f3ac.png?alt=media&token=928ac518-2353-4c36-975d-f331a656a30a,Esfera de Vórtice,0,type-1a721194-4138-4d4f-87c3-e6992d5795b3
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b746294c-f885-4a3c-a9c3-0e6174c8d1e4.png?alt=media&token=c3b4da3b-0b52-47db-85c6-1b7adcd7bc61,Furacão,0,type-3d869389-a65c-4426-8997-6db2a5f187b6
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/231facc6-0c84-4a63-af59-4282263c3f31.png?alt=media&token=2a8fddce-8c2a-4f2f-8670-be9f758ebaac,Tufão,0,type-cb253e3b-d6d5-41aa-8077-e52d25a01bcc
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/314edda2-b3c0-48cc-9535-048924c95136.png?alt=media&token=8ddab310-2603-4520-bdd7-76bfc2510552,Lâmina de Vento,0,type-9e1991e0-f1d6-4b94-a010-6e0165a761ee
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/46d0d888-c95d-4078-b045-5f40362ad4d4.png?alt=media&token=7490c43c-3cb7-4e29-b688-14fdac71d291,Furacão de Areia,0,type-9aeb2c36-e17a-4142-98d7-b8adffc28927
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9c89cb35-b6a3-49f9-88c3-1df46eb03131.png?alt=media&token=bedb6eef-718f-46d9-93f9-8bb5df1d72bc,Reerguer de Impaciência,0,type-351eac6d-3b4b-4d34-b2df-6e611104976a
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/6b90810e-36da-4ece-8b02-d264460843de.png?alt=media&token=1da7d3e5-2285-4499-a5f9-0b839ed71348,Sifão de Mana,0,type-8cb33b98-1c99-4c32-a2c7-590e4732b1b5
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9879add9-f610-43df-9034-c41404fb1c9d.png?alt=media&token=a3ba8d67-9b35-4d81-b6db-cd183e7ac4c4,Lágrima de Zarcos,0,type-85adca92-4a5d-4099-a6eb-af48574eb56a
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3397c877-72e0-4f6d-9b04-9ed13158f6b9.png?alt=media&token=b395fa4f-bb5a-4939-8175-7b7af7fbfa96,Raiz Roxa.,0,type-0ab7a03e-2fb3-4b91-bb00-aa84a715fd00
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69d7f6f9-ec6c-452f-8fe5-64571cc080cd.png?alt=media&token=561d92be-c46c-4dd6-b9e1-35d483efdb2d,Fluxo Forte.,0,type-43da7619-92bd-497a-a804-3794e59c33a8
